#cliente,principal component 1,principal component 2,y_predict_dataframe
C_1,0.6464771923631122,-0.02597902261939165,8
C_10,0.5176407242065875,-0.7166757446605947,8
C_100,-3.880294787613008,2.039550658063093,4
C_1000,-2.8041731073972196,-0.5051813083675641,7
C_1001,-1.209480134216448,0.5530335289981169,9
C_1002,1.5911712568715377,-0.05991601545010071,2
C_1003,2.129134870509668,0.27974910806378755,2
C_1004,-1.3254485848071815,0.9263742659528328,9
C_1005,-1.3794232505021686,-0.9347587072119424,3
C_1006,-1.2870248478018067,1.2690891000497977,9
C_1007,-0.19106321555754271,-1.7840793033849078,0
C_1008,-0.9629715005379744,-0.9460577389206003,3
C_1009,-5.020341632215085,-1.1443217557136167,7
C_101,0.14244341122540227,0.6518001030191498,8
C_1010,-2.0179082301174844,1.0229213408603157,4
C_1011,-3.8303841947621615,0.8637707754146509,4
C_1012,-0.961588125970806,-1.0344190547987444,3
C_1013,-4.3113920835029935,-0.8635113537060346,7
C_1014,-2.3126844360027192,0.27080889183521434,4
C_1015,0.1869230117889535,-0.6378937382117426,8
C_1016,-3.9884024234525057,-0.21464673831630046,7
C_1017,-0.34260787194187103,0.9582672315405817,9
C_1018,0.5167867694923828,1.1266418573060404,1
C_1019,-1.6209609970227,-0.7634316359528714,3
C_102,-3.5633630510380483,-0.5797256105357397,7
C_1020,-1.8167755329992306,-0.6978264296490746,3
C_1021,0.5556096842694292,0.4387116997705662,8
C_1022,-1.4197992445287557,0.37933524280529957,9
C_1023,-1.9820794028126503,0.6198793522487983,4
C_1024,-0.2697342663497426,-0.24578926548521282,8
C_1025,-1.4120479446644003,-1.003175253037931,3
C_1026,0.8678640759587292,-0.4881603971345348,2
C_1027,-0.6498817174272836,0.5828367426931383,9
C_1028,-0.7630312633007085,-1.6361656482283962,3
C_1029,0.1722519091172184,0.5115540782388001,8
C_103,-2.4758547422985964,1.1517447070281497,4
C_1030,-0.7017876239634427,-0.585462128488536,3
C_1031,2.3368868917374352,0.21085609066670355,6
C_1032,-1.4087232333103785,0.5728545690912042,9
C_1033,-2.1166679895559497,0.6663947853023767,4
C_1034,-2.787293705567634,-1.2044825345879162,7
C_1035,-1.8480687774679039,0.3792493671041194,4
C_1036,-0.12223592570059595,0.6168969681246117,8
C_1037,1.7005996257122402,-1.5741684709451644,5
C_1038,-2.7329954845414672,-1.0651940867743486,7
C_1039,-0.18129561632367366,0.838055203977854,9
C_104,-1.365439925653439,-1.6556407829095694,3
C_1040,0.4778379073825841,-0.25985254771596694,8
C_1041,2.636721495674317,-0.3714489907961662,2
C_1042,-1.767489827139672,0.5527053667153051,4
C_1043,1.4599594755347527,-1.394820220200223,0
C_1044,-0.633204184972609,0.5409931166579939,9
C_1045,-2.582472782387627,0.386452582638267,4
C_1046,-1.4730389734088816,-0.9705173385609931,3
C_1047,1.2832901832978005,-0.30747463092792593,2
C_1048,-0.8292031068845932,1.0394591719237622,9
C_1049,-1.1167868073918361,0.23984055595150458,9
C_105,-1.5215830919376667,-0.7883528751017453,3
C_1050,-2.7242009820506072,-1.2319001209191616,7
C_1051,0.8210654606917736,-1.1842703864826403,0
C_1052,-1.9971627915360783,0.6229491719830519,4
C_1053,-0.27369784814087217,1.0704548023547558,9
C_1054,-2.2820062309146993,-1.352887247802184,7
C_1055,-0.48545901895345395,1.0961642986703781,9
C_1056,0.47864251271089764,-0.7074688434875365,8
C_1057,0.47864251271089764,-0.7074688434875365,8
C_1058,0.06500246524384806,-0.624274526375036,8
C_1059,0.47864251271089764,-0.7074688434875365,8
C_106,-4.252487085818496,1.115584547001276,4
C_1060,0.3586598065863077,-0.6837420797209441,8
C_1061,-0.3937112773819149,1.0335720401578892,9
C_1062,-2.14747054426662,0.8801839064341815,4
C_1063,-1.9308735869598808,0.7493697368271377,4
C_1064,1.8926381623605337,0.6071433424140904,2
C_1065,-2.9957807832544985,0.09007640120547558,7
C_1066,1.0397281300414418,1.764216760161537,1
C_1067,0.8438658771672468,-2.63549993423154,0
C_1068,-0.9490815387305548,-0.15139619196893941,3
C_1069,-0.4284832577448958,-0.2603941870798778,8
C_107,-1.5423750642006173,-0.1591858444384488,3
C_1070,-3.607064297074927,-1.3973550046939018,7
C_1071,-1.93869530751011,-0.28626099303466357,3
C_1072,-1.5877119342039099,1.040382190021844,9
C_1073,2.4365396206942367,-0.35104824294409526,2
C_1074,-2.3188508567341355,-1.2398630996142717,7
C_1075,-0.8465629511144566,-1.5607384762211511,3
C_1076,-0.24079271487616805,0.6702524632664251,9
C_1077,1.2980037205992543,-0.36582730200944974,2
C_1078,-2.1715102603608223,-0.39419960185764974,7
C_1079,-1.0055943544358776,-0.41130595214087456,3
C_108,-3.3952102532962303,0.46463614237380374,4
C_1080,-0.573204670160053,0.9716267714266764,9
C_1081,0.4635144740912893,1.1685413405615217,1
C_1082,-0.5678884351902282,-1.2455883113842752,3
C_1083,-1.9713850573861944,1.0055233813157405,4
C_1084,0.9015473245549184,-0.023394627814693737,8
C_1085,0.394726236210638,-1.047861937134665,0
C_1086,0.32221281317371414,0.18804022693894676,8
C_1087,0.5470231378791433,-1.4969789073407411,0
C_1088,-0.5411172742110635,-0.23645559704396193,8
C_1089,2.715874161649442,-3.445401661002901,5
C_109,-1.1812008034095873,-0.09543493389306106,3
C_1090,-1.0662436231315913,-0.5576843816820315,3
C_1091,-2.697146193857247,-0.15376844261294526,7
C_1092,-1.6864963352883833,-0.685984717706529,3
C_1093,-2.2993546407928855,0.04617307362041577,4
C_1094,-1.109809855144941,0.654200711268838,9
C_1095,-2.6429127364629403,0.37904579804458416,4
C_1096,-0.9412265653798751,0.36514366817753385,9
C_1097,-0.2280957742479611,-1.5993566944247022,0
C_1098,-1.8259409526174444,0.10083036288592079,4
C_1099,-2.214134644303025,0.7615313188928979,4
C_11,-0.07537125282336743,-1.8000086161152862,0
C_110,-2.849369463934085,0.1281298135859135,7
C_1100,-1.5305667253314075,0.518728285953469,9
C_1101,0.4918372022412449,0.19980193910054958,8
C_1102,-1.3936941028660046,-0.4604012614848757,3
C_1103,-4.326176174030153,2.209432080765726,4
C_1104,1.5184961550372917,1.124983588329902,1
C_1105,0.27333900071191286,-2.2630408463052407,0
C_1106,-1.5877270583554142,-1.5400680882942024,3
C_1107,-0.6612951499933246,0.5276566210712872,9
C_1108,-1.8376651446247565,-0.9066734849227711,3
C_1109,0.6217875351061958,0.7978610908117985,1
C_111,-1.1770925725202601,-0.6306801099681965,3
C_1110,-0.9225444042282779,-0.8781903062820982,3
C_1111,-2.4890816968205858,-0.11135972064952272,7
C_1112,0.49738653111245146,1.1638272955954962,1
C_1113,0.49738653111245146,1.1638272955954962,1
C_1114,2.2639250244293434,-9.788784345061356e-06,2
C_1115,0.12637653183842257,-1.0430673479083288,0
C_1116,0.1342387831831518,-2.2631482394745612,0
C_1117,0.19793164772752206,-0.18060082507935407,8
C_1118,-0.8209585190362693,-1.367134677488796,3
C_1119,1.0335375484380975,0.011367933182244905,2
C_112,-2.4952659972226656,-0.7900755185010743,7
C_1120,0.8089015739853184,-0.3121198769963985,8
C_1121,-0.8960952452670073,0.47028480710519466,9
C_1122,-0.6210626830548063,-0.44112212448510785,3
C_1123,-0.8575212709047251,0.37655635257628955,9
C_1124,-0.41471450804466864,-0.3784379325990463,8
C_1125,4.2329479853802665,-2.9686646028222197,5
C_1126,-3.2817651608186043,-0.2898221524803382,7
C_1127,-0.7637719745522036,-0.8288000183947934,3
C_1128,-1.4715814715713766,0.1581081863525295,9
C_1129,-0.31095173935750575,-1.789699789575878,0
C_113,-0.4923040103096621,0.7377616739596685,9
C_1130,-1.297574496708783,-0.9958197336645055,3
C_1131,-0.1486189592783541,0.7604054835215072,9
C_1132,0.4721589410120633,-1.220773649931851,0
C_1133,0.6804266265619916,-0.8318711362209784,0
C_1134,-1.340837019056511,-1.5561323771324285,3
C_1135,-0.7806070585525752,-0.9033427641185455,3
C_1136,-0.022666226368249342,-0.06632147585925853,8
C_1137,-0.13014390331021058,-0.44301835917879256,8
C_1138,-0.34606062149498157,0.7244585662571834,9
C_1139,-2.09813975925713,-1.7892821313288307,3
C_114,0.026210903243501282,0.28655862230425255,8
C_1140,-1.9989389608945052,0.9420736586662026,4
C_1141,-2.166020718414373,-0.9823049096994921,7
C_1142,-0.5174187953899745,-0.9682737208743118,3
C_1143,-2.682097917650467,-0.13338897241432573,7
C_1144,-1.267065448321057,-0.7470332171857474,3
C_1145,-1.4182667899778245,-1.1313907587677454,3
C_1146,-0.4674273307115014,0.8471177445219195,9
C_1147,-2.421232675235669,-0.9673043784492894,7
C_1148,-0.41574192452361436,-1.0240932238014426,3
C_1149,-1.901319503005909,0.5107161733828166,4
C_115,0.030899537463406707,0.8584536863670977,8
C_1150,0.2713021714286723,-0.5571211552232819,8
C_1151,-1.4227545499729874,-0.8055181434911295,3
C_1152,1.013938211094078,0.5604193295904065,1
C_1153,-0.19385878800662962,-1.1845721838071561,0
C_1154,-1.1954144256728778,-1.7581890290850994,3
C_1155,-1.3185417911005044,-1.5006695745679348,3
C_1156,-0.9358596752458441,1.6179286771954235,9
C_1157,-3.658349405294494,0.4411446176215833,4
C_1158,0.8799706250265049,-1.4045162989221198,0
C_1159,-3.007071782459403,0.3617237443402877,4
C_116,-2.782300334271701,-0.807590655476491,7
C_1160,-1.9999951178596094,0.4669277826871836,4
C_1161,-0.5001159124892652,-1.1199746505389379,3
C_1162,-1.9599520980899434,-0.7565620696915385,3
